kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K00752.01","CONFIRMED",9.48803557,2.9575,615.8,0.146,2.26,5455.00,0.9270,4.467,15.347
"K00752.02","CONFIRMED",54.4183827,4.507,874.8,0.586,2.83,5455.00,0.9270,4.467,15.347
"K00754.01","FALSE POSITIVE",1.736952453,2.40641,8079.2,1.276,33.46,5805.00,0.7910,4.564,15.597
"K00755.01","CONFIRMED",2.525591777,1.6545,603.3,0.701,2.75,6031.00,1.0460,4.438,15.509
"K00756.01","CONFIRMED",11.09432054,4.5945,1517.5,0.538,3.9,6046.00,0.9720,4.486,15.714
"K00756.02","CONFIRMED",4.13443512,3.1402,686,0.762,2.77,6046.00,0.9720,4.486,15.714
"K00756.03","CONFIRMED",2.56658897,2.429,226.5,0.755,1.59,6046.00,0.9720,4.486,15.714
"K00114.01","FALSE POSITIVE",7.36178958,5.022,233.7,1.169,39.21,6227.00,1.9580,3.986,12.660
"K00757.01","CONFIRMED",16.06864674,3.5347,4914.3,0.052,5.76,5031.00,0.8480,4.485,15.841
"K00001.01","CONFIRMED",2.470613377,1.74319,14230.9,0.818,13.04,5820.00,0.9640,4.457,11.338
"K00002.01","CONFIRMED",2.204735417,3.88864,6674.7,0.224,16.1,6440.00,1.9520,4.019,10.463
"K00010.01","CONFIRMED",3.522498429,3.19843,9145.7,0.631,14.59,6225.00,1.4510,4.169,13.563
"K00112.02","CONFIRMED",3.709214104,2.6302,131.1,0.051,1.16,5833.00,1.0220,4.407,12.772
"K00742.01","FALSE POSITIVE",11.521446064,3.6399,17984.3,2.483,150.51,5795.00,0.8480,4.554,15.472
"K00743.01","FALSE POSITIVE",19.40393776,12.2155,8918.7,0.804,7.18,5043.00,0.6800,4.591,15.487
"K00744.01","FALSE POSITIVE",19.221388942,4.79843,74284,1.065,49.29,6117.00,0.9470,4.496,15.341
"K00745.01","FALSE POSITIVE",16.46983774,9.4378,10478.9,0.292,7.94,5152.00,0.7860,4.517,15.788
"K00746.01","CONFIRMED",9.27358173,3.2875,1288.3,0.387,2.47,4856.00,0.6960,4.583,15.302
"K00747.01","CONFIRMED",6.02930329,1.5821,1912.7,0.258,2.85,4537.00,0.6720,4.648,15.784
"K00748.01","FALSE POSITIVE",2.696370652,3.6129,397.9,0.044,1.58,4989.00,0.8190,4.504,15.269
"K00749.01","CONFIRMED",5.349553819,3.0278,831,0.092,2.55,5185.00,0.9100,4.440,15.416
"K00749.02","CONFIRMED",3.94105221,2.5984,363.3,0.226,1.7,5185.00,0.9100,4.440,15.416
"K00749.03","CONFIRMED",8.10904807,3.596,217.4,0.025,1.3,5185.00,0.9100,4.440,15.416
"K00113.01","FALSE POSITIVE",386.6030528,6.8057,24926.6,0.9765,41.5,5543.00,1.5800,4.081,12.394
"K00750.01","CONFIRMED",21.67699193,3.4555,857.2,0.896,2.95,4954.00,0.8280,4.500,15.377
"K00751.01","CONFIRMED",4.99677968,2.1717,934.7,0.71,2.78,5339.00,0.8470,4.552,15.861
"K00769.01","CONFIRMED",4.280963604,2.875,750.8,0.424,2.3,5644.00,0.8310,4.564,15.356
"K00770.01","FALSE POSITIVE",1.50635409,1.5155,2211.7,0.86,4.53,5714.00,0.8310,4.563,15.525
"K00771.01","FALSE POSITIVE",670.645531,53.412,18090.6,0.701,14.14,5520.00,0.9830,4.466,15.207
"K00772.01","FALSE POSITIVE",61.2563628,7.633,5123.3,1.248,39.87,6144.00,1.0910,4.402,15.250
"K00773.01","CONFIRMED",38.3775486,5.588,724.2,0.468,2.82,5481.00,1.0360,4.369,15.172
"K00757.02","CONFIRMED",41.19725502,4.6297,2213.9,0.045,3.86,5031.00,0.8480,4.485,15.841
"K00757.03","CONFIRMED",6.252962249,2.5819,1036.9,0.105,2.65,5031.00,0.8480,4.485,15.841
"K00758.01","CONFIRMED",16.01308419,3.2554,1121.9,0.799,3.1,5015.00,0.8260,4.499,15.390
"K00759.01","CONFIRMED",32.62876672,4.7971,1804.8,0.021,3.36,5586.00,0.7980,4.560,15.082
"K00759.02","CONFIRMED",91.7732862,6.473,652,0.606,2.12,5586.00,0.7980,4.560,15.082
"K00760.01","CONFIRMED",4.959319244,2.22739,9802,0.831,12.21,5712.00,1.0820,4.359,15.263
"K00761.01","FALSE POSITIVE",2.701287801,3.3827,860.4,1.016,6.54,5550.00,0.9100,4.468,15.540
"K00762.01","CONFIRMED",4.49876511,3.7362,460,0.312,2.1,6075.00,0.9690,4.486,15.395
"K00763.01","FALSE POSITIVE",19.651209505,5.2514,11766.3,0.723,12.42,6074.00,1.0630,4.391,15.536
"K00115.01","CONFIRMED",5.412203927,2.9472,601.6,0.787,2.94,5779.00,1.0870,4.339,12.791
